120,499,180,180,10.540925533894598
91,659,166,166,13.724471250693453
300,577,360,360,11.106804721030757
287,445,332,332,7.8545811119654525
417,401,460,460,7.536946036396675
461,504,508,508,8.449194570424384
590,451,632,632,7.433034373659253
566,351,537,537,5.169354139756941
628,331,660,660,5.587684871413404
708,305,735,735,4.743416490252569
782,281,805,805,4.006938426723769
865,252,847,847,3.2188679859713276
899,242,920,920,3.745367509040705
950,224,966,966,2.91070819942883
994,209,1007,1007,2.3213980461973533
1048,192,1035,1035,2.266911751455907
1071,185,1085,1085,2.6874192494328497
1106,172,1115,1115,1.5811388300841898
1135,163,1143,1143,1.4907119849998598
1173,149,1166,1166,1.2692955176439848
1190,144,1201,1201,1.950783318453271
1215,136,1223,1223,1.4240006242195884
703,406,732,732,5.3670807293682055
791,373,817,817,5.002777006601211
896,327,873,873,4.249182927993988
931,310,956,956,4.428443418528808
985,289,1011,1011,4.705198071164368
1043,263,1063,1063,3.435921354681384
1080,246,1103,1103,3.92286743197994
1125,231,1138,1138,2.5440562537456244
1176,208,1160,1160,2.91070819942883
1194,199,1207,1207,2.386303510546059
1228,185,1237,1237,1.7159383568311668
1256,172,1262,1262,1.118033988749895
